model,loss,accuracy,f1_macro,f1_weighted,runtime,samples_per_second,steps_per_second
v1,1.6839851140975952,0.638,0.6634570391066521,0.6162415955665185,499.193,14.023,1.753
v2,0.32942673563957214,0.8944285714285715,0.8670985241437289,0.8941769499063158,491.588,14.24,1.78
